Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,7510,2,2,4,5,10,1,37,"0,000%","129,21764","250,97","0,00"
/P1-base/procesapago,7510,9,9,13,15,20,4,45,"0,000%","128,46830","157,56","0,00"
Total,15020,6,6,11,13,18,1,45,"0,000%","246,54072","390,60","0,00"
