Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,30010,1082,601,1840,3464,9424,1,108332,"0,000%","184,01334","357,54","0,00"
/P1-base/procesapago,30010,1096,616,1910,3518,10167,5,108477,"0,000%","183,77783","225,53","0,00"
Total,60020,1089,609,1872,3477,9588,1,108477,"0,000%","362,95029","575,31","0,00"
