Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,17510,12,6,31,40,61,1,115,"0,000%","298,96872","580,82","0,00"
/P1-base/procesapago,17510,22,18,42,51,73,5,127,"0,000%","295,78702","362,91","0,00"
Total,35020,17,14,38,47,68,1,127,"0,000%","570,73942","904,52","0,00"
