Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
P1-ejb,1000,4,3,3,4,5,2,1910,"0,000%","205,93081","266,23","0,00"
Total,1000,4,3,3,4,5,2,1910,"0,000%","205,93081","266,23","0,00"
