Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,35010,1422,589,2023,4434,30188,1,109043,"0,249%","218,58162","425,18","0,00"
/P1-base/procesapago,35010,1413,605,2045,4428,23980,5,109071,"0,231%","217,56287","267,54","0,00"
Total,70020,1418,598,2037,4433,28638,1,109071,"0,240%","429,33350","681,55","0,00"
