procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  1  11640   7804   2848 102344    0    0     8     6  130  176  1  1 97  0
 1  1  11736   7560   2744  98116  264  212   264   252 4832 8776 14 24 44 18
 4  0  11756   7988   2732  96676    0   24     0    24 3897 5079 43 27 25  6
 4  0  11756   7548   2732  97020    0    0     0     0 3548 3933 48 33 19  0
 1  1  11772   8216   2728  95640    0   20     0    20 3885 3709 46 34 12  8
 5  0  11772   7720   2728  95532    0    0     0     0 3754 3797 43 34 19  4
 4  0  11784   8300   2844  93704   36   12   364    44 4180 3669 40 39 11 11
 1  0  11808   8360   2832  92256    0   28     0    28 4270 3669 42 36 14 10
 2  0  11828   8376   2820  90844    0   24     0    24 3984 3672 46 30 18  7
 5  1  11848   7556   2820  90644   64   20    96    20 3934 3801 52 29 19  0
 5  0  11852   9656   2756  88444   28    8    28     8 3592 6489 61 28 12  0
 2  0  11852   8672   2764  88760    0    0     0    32 3634 3849 54 27 19  0
 1  1  11868   6968   2736  85592    0   20     0  2128 4746 3331 59 27 13  1
 7  0  11876   8016   2732  84072    0   12     0    12 3991 3836 51 27 18  3
 5  1  11876   7488   2732  83532    0    0     0     0 3672 4265 56 25 19  1
 2  1  11888   7444   2708  82432   16   12    16    12 4105 3404 64 29  7  0
 5  0  11892   8340   2660  81480    0    4     0    32 3511 2800 74 26  0  0
 4  0  11888   8248   2660  81604    0    0     0     0 3332 2777 73 27  0  0
 5  0  11884   9208   2660  79992   12    0    28     0 3433 5518 69 26  4  0
 5  0  11884   7720   2660  80172    0    0     0     0 3225 2660 69 23  9  0
 1  0  12104   8372   2576  79120  180  336   180   336 4488 3931 48 32 19  1
 1  0  12104   9892   2584  79296    0    0     0    36 3752 3583 42 34 23  0
 1  0  12100   8928   2584  79584   32    0    32     0 3628 3997 45 34 22  0
 1  0  12100   7688   2584  79724    0    0     0     0 3662 3801 44 39 17  0
 1  0  12100   7472   2584  79916    0    0     0     0 3420 3922 45 32 23  0
 3  0  12100   8464   2508  78160    0    0     0     0 3637 4103 52 25 19  5
 6  0  12096   8404   2516  78232    0    0     0    12 3491 3890 48 32 21  0
 1  0  12092   8512   2516  76988    0    0     0     0 3449 7397 54 33 14  0
 1  0  12088   7440   2516  77224    0    0     0     0 3495 3881 50 31 19  0
 3  0  12104   8308   2396  75256    0   16     0    16 4222 3853 50 26 20  4
 6  0  12104   8032   2396  75452    0    0     0     0 3761 3787 52 27 21  0
 3  0  12496   8360   2072  74820    0  400     0   432 4537 4063 55 27 18  0
 1  0  12348   7460   2072  75008    0    0     0     0 3662 3743 50 27 23  0
 1  1  12352   7740   2032  73592    0    4     0     4 3952 3870 48 29 18  5
 1  0  12404   9608   1964  71388   52   60    52    60 3913 4387 65 24 11  0
 4  0  12404   8888   1964  71592    0    0     0     0 3483 3601 51 26 23  0
 1  0  12404   8300   1972  71896    0    0     0    32 3611 3657 42 36 22  0
 1  1  12416   7864   1964  71048    0   24     0    24 3802 3561 42 33 23  3
 4  0  12436   8052   1964  70276    0   20     0    20 3731 3723 43 33 20  4
 1  0  12432   7244   1964  70392    0    0     0     0 3728 3782 48 37 16  0
 2  0  12816   8268   1936  68984    0  432     0   432 4464 3551 52 28 17  3
 3  0  12816   7772   1944  69184    0    0     0    12 3722 3910 47 36 17  0
 7  1  12816   8392   1936  67600    0    0     0     4 3681 4033 48 32 17  4
 1  0  12812   8764   1936  66268    0    0     0     0 3608 6680 51 35 14  1
 4  0  12812   7972   1936  66368    0    0     0     0 3492 3741 48 32 21  0
 1  1  12808   7680   1936  65356   32    0    32     0 3554 3882 45 34 18  3
 1  0  12808   8440   1936  64500    4    4     4    40 4046 4106 40 39 18  3
 6  1  12808   7372   1936  64724    0    0     0    28 3787 3828 44 37 19  0
 5  0  13252   8340   1924  62812    0  464     0   464 4925 4130 40 45  9  7
 4  0  12948   7688   1924  63000  184    0   184     0 3625 3505 47 39 15  0
MEDIA
NR:  52 CPU:  79.34
