procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0   8112   8772   7936 168500    0    0     9     5   99  116  1  1 98  0
 1  0   8112   8632   7944 168524    0    0     0    28 1518 1544  7 19 73  0
 0  0   8112   8508   7944 168548    0    0     0     0 1345 1458  8 16 77  0
 0  0   8112   8508   7944 168572    0    0     0     0 1377 1302 10 16 75  0
 0  0   8112   8508   7944 168600    0    0     0     0 1403 1604 11 14 75  0
 0  0   8112   8260   7944 168624    0    0     0     0 1408 1576  7 18 75  0
 1  0   8112   8260   7952 168648    0    0     0    16 1388 1384  8 19 73  0
 2  0   8112   8136   7952 168676    0    0     0     0 1400 1466  8 16 76  0
 0  0   8112   7888   7952 168700    0    0     0     0 1432 1435  7 18 75  0
 2  0   8112   7888   7952 168724    0    0     0     0 1411 1405  9 16 75  0
 0  0   8112   7888   7952 168752    0    0     0     0 1425 1429  7 18 75  0
 1  0   8112   7764   7960 168776    0    0     0    12 1411 1486  7 18 75  0
 1  0   8112   7392   7960 168800    0    0     0     0 1404 1374  7 19 74  0
 1  0   8228   8260   7840 167472    0  116     0   116 1641 1439  9 18 63 10
 2  0   8228   8136   7840 167436    0    0     0     0 1297 1322  9 16 75  0
 1  0   8228   8012   7840 167460    0    0     0     0 1451 1565  9 16 75  0
 1  0   8228   7888   7848 167488    0    0     0    12 1416 1458  8 18 74  0
 0  0   8228   7888   7848 167512    0    0     0     0 1400 1457  9 17 74  0
 0  0   8228   7888   7848 167536    0    0     0     0 1380 1489  9 17 74  0
 1  0   8228   7640   7848 167532  128    0   128     0 1275 1378 12 13 75  0
 0  0   8228   7420   7848 167588   32    0    32     0 1731 1804 25 12 63  0
 0  0   8228   7452   7856 167616    0    0     0    12 1414 1460  9 16 75  0
 1  1   8272   8328   7848 166212    0   44     0    44 1877 1292 11 13 68  9
 2  0   8272   8328   7848 166212    0    0     0     0 1560 1639  8 21 68  2
 0  0   8272   8328   7848 166236    0    0     0     0 1248 1265 11 13 75  0
 0  0   8272   8328   7848 166260    0    0     0     0 1391 1475  7 16 77  0
 1  0   8272   8328   7856 166288    0    0     0   784 1520 1491  8 19 73  0
 3  0   8272   8360   7856 166308    0    0     0     0 1295 1303  9 13 78  0
 3  0   8272   8236   7856 166336    0    0     0     0 1493 1612 14 14 72  0
 0  0   8272   8236   7856 166364    0    0     0     0 1257 1324  8 15 77  0
 0  0   8272   8236   7856 166388    0    0     0     0 1416 1398 10 15 75  0
 0  0   8272   8236   7864 166416    0    0     0    44 1487 1488  9 20 71  0
 0  0   8272   8244   7864 166440    0    0     0     0 1331 1250  6 17 77  0
 0  0   8272   8244   7864 166464    0    0     0     0 1448 1438 13 16 72  0
 2  0   8272   8120   7864 166492    0    0     0     0 1278 1295 10 17 73  0
 0  0   8272   8120   7864 166516    0    0     0     0 1446 1435 14 18 68  0
 0  0   8272   7616   7872 166540    0    0     0    12 1349 1382  7 18 76  0
 2  0   8272   7616   7872 166568    0    0     0     0 1416 1444  7 20 73  0
 0  0   8272   7616   7872 166592    0    0     0     0 1517 1500  8 22 70  0
 1  0   8272   7616   7872 166616    0    0     0     0 1123 1170  2 13 85  0
MEDIA
NR:  42 CPU:  25.225
