procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 7  0   9200   7436   7108 167536    0    0     8     6  121  159  1  1 97  0
 1  0   9200   8048   7112 166736    0    0     0    40 4224 9512 15 21 63  0
 0  0   9200   7688   7112 166944    0    0     0     0 4102 9500 16 24 60  0
 0  0   9200   8732   7104 166128    0    0     0     0 3927 9023 15 24 62  0
 0  0   9200   8212   7104 165280    0    0     0     0 3514 7733 14 20 65  0
 1  0   9200   7900   7104 165488    0    0     0     0 4132 8851 17 23 60  0
 3  0   9200   8016   7112 165704    0    0     0    36 4326 10455 16 25 59  0
 4  0   9196   8324   7112 165916   32    0    32     0 4207 10233 18 22 60  0
 0  0   9196   8300   7112 166136    0    0     0     0 4197 10561 17 21 62  0
 0  0   9196   8332   7112 166340    0    0     0     0 3953 8868 19 23 59  0
 2  0   9196   7856   7112 166540    0    0     0     0 4079 9107 15 21 65  0
 1  0   9196   7576   7120 166760    0    0     0    12 4422 10135 19 24 56  0
 4  0   9196   7808   7120 166976    0    0     0     0 3992 10023 20 23 57  0
 0  0   9196   7584   7120 167172    0    0     0     0 3763 9024 17 22 61  0
 2  0   9196   8164   7108 165808    0    0     0     0 3963 9124 21 21 58  0
 0  0   9196   7564   7108 166004    0    0     0     0 4118 9191 14 22 63  0
 1  0   9196   7440   7116 166216    0    0     0    28 4232 9632 16 19 64  0
 0  0   9196   8824   7104 165392    0    0     0     0 4390 11045 16 23 61  0
 0  0   9196   9196   7104 165616    0    0     0     0 4298 10466 18 19 63  0
 2  0   9196   8944   7104 165816    0    0     0     0 4108 9534 19 19 62  0
 4  0   9196   8196   7104 166012    0    0     0     0 4108 8832 16 20 64  0
 3  0   9196   7720   7112 166216    0    0     0    12 3984 9345 18 21 61  0
 1  0   9196   8340   7104 165540    0    0     0     0 4252 10382 17 21 62  0
 2  0   9196   7940   7104 165748    0    0     0     0 3986 9631 18 26 56  0
 2  0   9196   7944   7104 165964    0    0     0     0 4097 9950 16 22 62  0
 4  0   9192   8316   7100 164888    0    0     0     0 3903 8902 19 23 58  0
 0  0   9240   7876   6956 162416    0   52     0  2328 4121 9442 18 20 62  0
 0  0   9240   7628   6956 162628    0    0     0     0 4242 9805 14 27 59  0
 2  0   9240   7412   6956 162852    0    0     0     0 3888 9767 15 20 65  0
 0  0   9268   8632   6912 161716    0   28     0    28 4265 9566 14 22 63  0
 0  0   9264   7424   6912 161924    0    0     0     0 4061 9063 14 21 65  0
 2  0   9296   7732   6852 160716    0   32     0    92 4493 9667 17 24 58  0
 2  0   9296   7448   6852 160916    0    0     0     0 4075 9610 16 24 61  0
 0  0   9316   7948   6524 159420    0   24     0    24 4340 10050 20 22 58  0
 0  0   9328   8412   6376 157980    0   12     0    12 4022 9718 17 19 61  3
 0  0   9328   8480   6376 158196    0    0     0     0 4186 10297 15 22 63  0
 1  0   9452   8380   6336 157084   32  128    32   160 4294 8923 19 23 55  4
 0  1   9452   7976   6300 156304    0    0     0     0 3874 9954 18 20 55  7
 0  0   9448   8160   6300 155492    0    0     0     0 4322 9459 17 21 45 17
 1  0   9448   7788   6300 155692    0    0     0     0 3878 8573 15 23 62  0
 3  1   9476   8128   5764 154368    0   28     0    28 4205 9565 16 23 39 21
 3  0   9568   8344   5672 154420    0   92     0  2068 4030 9080  9 25 64  1
MEDIA
NR:  44 CPU:  37.7857
