procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 6  0  16496  12516    948  31644    0    1     8     7  141  188  2  2 97  0
 7  0  16460  11472    956  31980    0    0    64    36 3965 3645 60 23 17  0
 2  0  16460  11160    956  32084    0    0     0     0 3714 3477 61 20 19  0
 1  0  16460  11068    956  32296    0    0     0     0 3701 4045 61 20 19  0
 4  0  16460  10788    956  32588    0    0     0     4 3650 3688 60 21 19  0
 1  0  16460  10620    956  32704    0    0     0     0 3730 3594 57 23 21  0
 3  0  16408  11904    964  30972    0    0     0    36 3367 6040 71 22  7  0
 5  0  16408  11516    964  31644    0    0     0     0 3575 7592 62 21 17  0
 1  0  16404  11284    964  31844    0    0     0     0 3489 3575 53 26 21  0
 5  0  16404  11128    964  32052    0    0     0    12 3494 3793 58 21 22  0
 2  0  16400  10896    964  32248    0    0     0     0 3656 3485 49 26 25  0
 2  0  16400  10696    972  32548    0    0     0    32 3799 3917 57 21 22  0
 2  0  16400  10556    972  32672    0    0     0     0 3736 4085 54 25 20  0
 1  0  16400  10120    972  32996    0    0     0     0 3689 3970 52 23 25  0
 3  0  16400  10012    972  33200    0    0     0     0 3807 3885 59 26 15  0
 1  0  16400   9928    972  33324    0    0     0     0 3580 3752 54 27 20  0
 1  0  16400   9740    980  33616    0    0     0    28 3750 3720 49 26 25  0
 1  0  16400   9344   1240  33760    4    0   272     0 3859 3462 54 26 21  0
 2  0  16400   9128   1240  34068    0    0     0     0 3725 3870 54 28 18  0
 3  0  16396   8880   1240  34276    0    0     0     0 3783 3886 58 27 15  0
 2  0  16380   7900   1248  35068   20    0   692     0 3837 3887 64 26 11  0
 2  0  16352   7700   1256  35236    0    0     0    36 3632 3491 61 24 15  0
 7  0  16380   7388   1256  35080    0   76     0    76 3847 3622 60 22 16  1
 5  0  16348   9624   1244  33328    0   32     0    32 4195 8926 65 30  5  1
 3  0  16340   9624   1244  33456    0    0     0   708 3572 3698 52 28 21  0
 1  0  16288   9500   1244  33668    0    0     0     0 3493 3651 53 25 22  0
 6  0  16280   9312   1252  33956    0    0     0    36 3715 3928 54 27 18  0
 1  0  16272   9156   1252  34180    0    0     0     0 3573 3743 55 24 21  0
 1  0  16272   8800   1252  34400    0    0     0     0 3885 4037 55 26 19  0
 5  0  16272   8536   1252  34524    0    0     0     0 3786 3914 54 23 23  0
 5  0  16272   8444   1252  34760    0    0     0     0 3966 4096 53 29 19  0
 3  0  16272   8180   1260  35068    0    0     0    28 3537 3862 50 25 25  0
 1  0  16264   8056   1260  35176    0    0     0     0 3353 3932 52 25 23  0
 2  0  16264   7808   1260  35468    0    0     0     0 3464 3571 63 26 11  0
 1  0  16264   7576   1260  35568    0    0     0    16 3514 3839 54 26 20  0
 3  0  16264   7436   1260  35784    0    0     0     0 3725 3985 52 27 21  0
 1  1  16536   8108   1260  34916   72  356    72   372 4706 3604 52 29 10  9
 4  0  16408   8172   1260  34756  232   72   232    72 3885 3731 55 24 16  6
 1  0  16376   8016   1260  34948    0    0     0     0 3803 3835 46 33 22  0
 1  0  16372   9600   1260  33264    0    0     0  1956 3266 3892 55 22 22  0
 3  0  16364   9632   1260  33372    0    0     0     0 3472 3974 53 26 21  0
 2  0  16344   9484   1268  33656   32    0    32    36 3445 3567 53 25 22  0
 4  0  16336   9508   1268  33800    0    0     0     0 3460 3706 55 24 22  0
 1  0  16308   9228   1268  34020    0    0     0     0 3487 3777 52 24 24  0
 7  0  16304   9088   1268  34208    0    0     0    44 3624 3875 50 30 20  0
 7  0  16284   8968   1268  34428    8    0     8     0 3448 3798 56 27 17  0
 1  0  16264   8640   1276  34712    0    0     0    12 3434 3697 48 29 23  0
 2  0  16228   8516   1276  34836    8    0     8     0 3705 3624 48 28 24  0
 1  0  16192   8284   1280  35140    0    0     0     0 3928 3917 50 32 18  0
 4  0  16164   8004   1284  35356   28    0    32     4 3749 3986 44 33 22  0
 1  0  16160   7700   1284  35580    0    0     0     0 3635 4127 43 33 24  0
MEDIA
NR:  53 CPU:  78.9804
