procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  1  13140   7652   2184  58248    0    0     8     6  135  182  1  1 97  0
 3  1  13144   7316   1852  55408    0    8    84    48 4275 5783 23 30 22 27
 2  1  13168   7984   1680  52244   12   32    12    32 4447 3879 44 40  8  9
 2  0  13188   8140   1584  52160    0   20     0    20 3783 3967 48 31 20  1
 4  0  13188   8096   1584  52364    0    0     0     0 3499 3763 50 28 22  0
 3  0  13188   7488   1584  52560    0    0     0     0 3406 3406 45 31 24  0
 3  0  13652   8392   1332  51836    0  736     0   748 4718 3766 44 31 24  1
 4  1  13644   7272   1168  51664    0    0     0     0 3672 3718 54 26 20  1
 2  1  13636   7100    956  49500   32    0    32     0 4303 4100 52 25 13  9
 2  0  13632   8216    948  48520    0    0     0     0 3498 4041 55 24 21  1
 2  0  13632   7628    948  48708    0    0     0     0 3681 3811 54 29 18  0
 1  1  14012   7760    940  47796  356  564   356   596 5737 3709 53 27 17  4
 3  0  14116   8364    928  47216  304  272   304   272 4007 4025 48 31 21  0
 1  0  14104   7620    928  47428    0    0     0     0 3553 3766 48 32 20  0
 1  0  14412   7840    924  46704  408  508   408   508 4899 3984 46 35 19  0
 1  1  14500   7964    908  45260    0   92     0    92 3752 3701 41 36 20  2
 1  0  14520   7668    916  44716    0   24     0    36 4113 3976 42 38 17  2
 1  0  14652   8336    908  43868    0  140    64   140 4095 3715 39 37 22  2
 1  0  14652   7468    908  44076    0    0     0     0 3650 3664 42 34 24  0
 4  0  15320   7436    908  43668  564  864   644   864 4130 3749 48 32 21  0
 5  0  15548   7856    900  42828  320  388   412   388 4103 4104 44 36 21  0
 1  0  15872   7556    892  42024  560  632   636   660 4555 3820 47 36 17  0
 4  0  16088   8300    876  40704   84  220    84   220 5238 3871 41 37 18  3
 5  0  16492   8316    868  40168   32  412    32   412 4360 3830 40 38 23  1
 1  0  16388   7572    868  40372  256    0   256   996 3970 3916 39 44 18  0
 2  0  16564   8192    868  39552    0  180     0   180 4564 3953 40 44 17  0
 2  0  16804   8360    868  38336    0  252     0   280 4109 3581 46 35 18  2
 1  0  16800   9648    868  36600    0    0     0     0 3566 4506 47 32 21  0
 5  0  16796   8532    868  36808    0    0     0     0 3488 3585 44 33 23  0
 1  0  16796   7648    872  36992    0    0     4  1980 3642 3969 47 30 24  0
 1  0  16984   8300    772  35856   32  192    32   192 4701 3884 44 35 20  2
 1  0  16984   7788    780  35984    0    0     0    40 3793 3836 41 38 21  0
 8  1  17220   7292    608  35768  176  372   176   372 6077 3909 44 38 14  5
 5  0  17680   7560    600  35164  376  600   376   600 4837 3721 38 40 18  3
 2  1  18064   7588    596  34636  220  484   256   484 4819 3803 46 40 12  2
 1  0  18164   7804    596  33792    0  104     0   104 4537 3811 42 37 13  7
10  1  17860   7012    604  33604  456   76   456   104 4403 4140 43 39 18  1
 1  0  17872   7852    604  32276  160  168   160   168 4762 3602 45 38 12  5
 2  1  17952   8040    600  31416    0   80     0    80 4119 3929 47 32 21  0
 1  0  18032   8272    592  30336    4   92     4  2048 4184 3627 50 26 23  1
 1  0  18032   7496    592  30612    0    0     0     0 3462 3770 42 36 22  0
 1  0  18360   7940    528  29592  428  572   428   592 4830 3811 47 32 11 11
 3  1  18376   7696    528  29316    0   24     0    24 3706 4086 56 23 21  1
 3  1  18420   7524    528  28316    0   48     0    48 4460 3655 52 30 15  4
 1  1  17908   7152    524  27452  712   44   712    44 3992 3727 51 28 16  5
 3  0  16792   8468    508  24500 1460  104  1636  3976 2777 2293 43 22 33  2
 1  0  16792   8564    516  24776    0    0     0    44 3604 3893 49 29 22  0
 2  0  16792   8452    516  24892    0    0     0     0 3693 3842 49 29 22  0
 1  0  16792   8564    516  25200    0    0     0     0 3869 3825 52 28 21  0
 1  0  16792   8416    516  25324    0    0     0     0 3545 4003 54 25 22  0
MEDIA
NR:  52 CPU:  77.1
