procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 4  0   9016   8060   7760 167652    0    0     8     5  111  135  1  1 98  0
 0  0   9016   7912   7760 167808    0    0     0     0 3353 7959  9 18 73  0
 1  0   9016   7664   7768 167964    0    0     0    32 3130 7814 15 17 68  0
 2  0   9016   7540   7768 168100    0    0     0     0 3223 7780 14 14 72  0
 0  0   9020   8252   7436 167200    0    4     0     4 3322 8393 13 16 71  0
 0  0   9020   8220   7436 167328    0    0     0     0 3061 6506 11 16 74  0
 0  0   9020   8096   7436 167480    0    0     0     0 3300 8182 13 15 72  0
 4  0   9020   8096   7444 167640    0    0     0    32 3206 7545 15 16 69  0
 3  0   9020   8004   7444 167780    0    0     0     0 3172 7137 12 18 70  0
 3  0   9020   7972   7444 167940    0    0     0     0 3482 8240 13 19 68  0
 0  0   9020   7848   7444 168092    0    0     0     0 3099 7497 13 17 71  0
 0  0   9020   7724   7444 168236    0    0     0     0 3185 7850 13 20 67  0
 0  0   9020   7484   7452 168392    0    0     0    12 3124 7700 13 17 69  0
 0  0   9020   7484   7452 168544    0    0     0     0 3274 7519 11 21 68  0
 0  0   9128   8352   7316 167216    0  108     0   108 3462 8240 13 16 66  5
 2  0   9128   8352   7316 167368    0    0     0     0 3306 7507 11 20 69  0
 3  0   9128   8384   7316 167512    0    0     0     0 3238 7504 10 19 71  0
 3  0   9128   8228   7324 167664    0    0     0    12 3153 7438 15 17 68  0
 0  0   9128   8196   7324 167816    0    0     0     0 3199 7407 14 19 67  0
 1  0   9188   8320   7208 166732    0   60     0    60 3459 7213 21 23 56  0
 0  0   9188   8692   7208 166828    0    0     0     0 3220 7280 14 17 70  0
 2  0   9188   8692   7208 166980    0    0     0     0 3299 8144 11 21 68  0
 3  0   9188   8664   7216 167128    0    0     0    28 3181 7630 11 17 72  0
 0  0   9188   8600   7216 167276    0    0     0     0 3184 7418 11 19 70  0
 4  0   9188   8568   7216 167428    0    0     0  1452 3350 7847 15 15 70  0
 0  0   9188   8476   7216 167580    0    0     0     0 3077 7149 10 20 70  0
 1  0   9188   8476   7216 167732    0    0     0     0 3438 8227 16 19 65  0
 0  0   9188   8188   7224 167852   32    0    32    24 3164 7365 13 17 71  0
 0  0   9188   8220   7224 168024    0    0     0     0 3218 7508 11 21 68  0
 1  0   9188   7908   7224 168188    0    0     0     0 3386 7338 11 20 68  0
 0  0   9188   7936   7224 168332    0    0     0     0 3258 7709 14 17 69  0
 0  0   9188   7684   7224 168484    0    0     0     0 3220 7688 13 18 69  0
 0  0   9188   7624   7232 168644    0    0     0    28 3294 7761 11 19 70  0
 0  0   9188   8428   7204 167116    0    0     0     0 3099 7397 11 18 69  2
 3  0   9188   8524   7204 167248    0    0     0     0 3428 7598 15 21 65  0
 2  0   9188   8304   7204 167404    0    0     0     0 3380 7637 16 20 65  0
 1  0   9188   8336   7204 167548    0    0     0     0 3181 7147 12 21 67  0
 0  0   9188   8244   7212 167700    0    0     0    12 3239 8416 11 14 75  0
MEDIA
NR:  40 CPU:  30.2368
