procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0   8600   7756   7484 167544    0    0     9     5  102  120  1  1 98  0
 0  0   8600   7748   7484 167612    0    0     0     0 2945 4017 11 22 67  0
 0  0   8600   7624   7492 167680    0    0     0    32 2909 4078  8 19 73  0
 2  0   8600   7624   7492 167764    0    0     0     0 2894 3672  7 24 69  0
 0  0   8600   7500   7492 167840    0    0     0     0 3044 4044 10 23 67  0
 0  0   8600   7500   7492 167916    0    0     0     0 3045 3857  7 24 70  0
 0  0   8600   7408   7492 167992    0    0     0     0 2946 4120  8 22 70  0
 1  0   8844   8276   7484 166680    0  244     0   296 4171 3892 12 23 62  4
 0  0   8844   8244   7484 166752    0    0     0     0 2939 3811  8 23 69  0
 2  0   8844   8244   7484 166828    0    0     0     0 2998 3993  9 24 67  0
 1  0   8844   8244   7484 166904    0    0     0     0 3074 3901 10 22 68  0
 0  0   8844   8152   7484 166984    0    0     0     0 2959 3953  7 21 71  0
 0  0   8844   8152   7492 167048    0    0     0    32 2964 3676  9 25 67  0
 0  0   8844   8120   7492 167128    0    0     0     0 3022 4122 11 22 66  0
 0  0   8844   8152   7492 167208    0    0     0     0 2968 3678  9 24 68  0
 1  0   8844   8120   7492 167284    0    0     0     0 3172 4271  7 21 71  0
 1  0   8844   7996   7492 167360    0    0     0     0 3065 4095  9 25 66  0
 1  0   8844   7964   7500 167428    0    0     0    12 2898 3711 10 21 69  0
 1  0   8844   7904   7500 167512    0    0     0     0 2967 3794  9 22 68  0
 0  0   8844   7872   7500 167588    0    0     0     0 3083 3658 10 26 64  0
 0  0   8844   7780   7500 167660    0    0     0     0 3127 4196  8 22 70  0
 2  0   8844   7748   7500 167740    0    0     0     0 2903 4195 10 19 71  0
 0  0   8844   7624   7508 167808    0    0     0   956 2740 3470  9 23 67  0
 2  0   8844   7500   7508 167884    0    0     0     0 2895 4176  7 21 72  0
 1  0   8844   7500   7508 167964    0    0     0     0 3027 3843  8 22 70  0
 1  0   8936   8324   7492 166984    0   92     0    92 3097 4013  8 22 69  0
 0  0   8936   8324   7492 166976    0    0     0     0 3051 4250 12 22 66  0
 0  0   8936   8200   7500 167048    0    0     0    20 2880 3844 10 23 68  0
 1  0   8936   8200   7500 167124    0    0     0     0 3030 3851 10 25 65  0
 1  0   8936   8200   7500 167200    0    0     0     0 3022 4010  9 21 70  0
 2  0   8936   8200   7500 167276    0    0     0     0 2931 4042  9 23 68  0
 1  0   8936   8200   7500 167356    0    0     0     0 3150 4142  9 20 71  0
 0  0   8936   8232   7508 167424    0    0     0    12 2929 3726  8 22 69  0
 0  0   8936   8200   7508 167504    0    0     0     0 3163 4090  9 25 66  0
 0  0   8936   8200   7508 167584    0    0     0     0 3035 3981  9 24 67  0
 0  0   8936   8076   7508 167660    0    0     0     0 3008 4082  9 27 64  0
 1  0   8936   7952   7508 167836    0    0     0     0 3036 3861  6 22 72  0
 0  0   8936   7952   7516 167804    0    0     0    36 3043 3991  7 23 69  0
 0  0   8936   7828   7516 167888    0    0     0     0 2982 3916  7 25 68  0
MEDIA
NR:  41 CPU:  30.7949
