procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 4  0   8272   7500   7964 167012    0    0     9     5  100  117  1  1 98  0
 1  0   8272   7500   7964 167060    0    0     0     0 2412 2823  9 23 68  0
 0  0   8272   7500   7972 167116    0    0     0    32 2313 2688  9 24 67  0
 0  0   8548   8616   7348 166416    0  276     0   276 2841 2733  7 20 62 11
 0  0   8548   8616   7348 166472    0    0     0     0 2411 2956  9 20 70  0
 1  0   8548   8616   7348 166520    0    0     0     0 2124 2349  8 22 70  0
 0  0   8548   8492   7348 166572    0    0     0     0 2337 2898  8 20 72  0
 0  0   8548   8492   7356 166624    0    0     0    12 2071 2495  9 18 73  0
 1  0   8548   8492   7356 166672    0    0     0     0 2262 2928 10 21 69  0
 1  0   8548   8368   7356 166724    0    0     0     0 2366 2755  8 19 72  0
 4  0   8548   8368   7356 166772    0    0     0     0 2072 2372  7 18 75  0
 0  0   8548   8368   7356 166824    0    0     0     0 2451 2955  8 22 70  0
 1  0   8548   8244   7364 166872    0    0     0    12 2169 2550  9 21 70  0
 0  0   8548   8244   7364 166920    0    0     0     0 2232 2639  9 24 68  0
 2  0   8548   8244   7364 166976    0    0     0     0 2461 2993  9 25 66  0
 0  0   8548   8244   7364 167024    0    0     0     0 2037 2415 10 19 71  0
 0  0   8548   8120   7364 167076    0    0     0     0 2372 2751 12 22 66  0
 1  0   8548   7740   7372 167324    0    0   200    64 2185 2543  9 25 65  0
 0  0   8548   7740   7372 167376    0    0     0     0 2326 2675  7 21 72  0
 0  0   8548   7740   7372 167428    0    0     0     0 2443 2916 11 25 64  0
 2  0   8548   7616   7372 167476    0    0     0     0 2198 2548 10 20 70  0
 2  0   8548   7616   7372 167528    0    0     0     0 2328 2760 12 22 66  0
 0  0   8548   7616   7380 167580    0    0     0    12 2125 2488  9 19 72  0
 2  0   8548   7616   7380 167624    0    0     0     0 2217 2583 11 17 73  0
 2  0   8548   7492   7380 167684    0    0     0     0 2355 2965 10 22 68  0
 1  0   8548   7492   7380 167728    0    0     0     0 2206 2514  9 21 70  0
 0  0   8548   7368   7380 167784    0    0     0     0 2281 2695  9 24 67  0
 0  0   8600   8608   7372 166316    0   52     0  1624 2766 2567  7 24 55 14
 0  0   8600   8608   7372 166364    0    0     0     0 2170 2613  9 20 71  0
 2  0   8600   8608   7372 166416    0    0     0     0 2318 2778  8 23 70  0
 0  0   8600   8608   7372 166468    0    0     0     0 2340 2797 10 19 71  0
 1  0   8600   8608   7372 166516    0    0     0     0 2050 2436  9 22 69  0
 1  0   8600   8608   7380 166568    0    0     0    72 2423 2763  9 22 68  0
 1  0   8600   8608   7380 166616    0    0     0     0 2239 2665 11 18 71  0
 3  0   8600   8608   7380 166664    0    0     0     0 2177 2597 10 24 66  0
 5  0   8600   8608   7380 166720    0    0     0     0 2349 2937  9 21 70  0
 1  0   8600   8608   7380 166764    0    0     0     0 2273 2462 25 23 51  0
 1  0   8600   8608   7388 166816    0    0     0    12 2546 2714 41 23 37  0
 1  0   8600   8608   7388 166868    0    0     0     0 2342 2526 23 21 56  0
 0  0   8600   8608   7388 166920    0    0     0     0 2340 2851  3 23 74  0
MEDIA
NR:  42 CPU:  31.275
