Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,20010,44,37,102,120,142,1,200,"0,000%","332,57433","646,13","0,00"
/P1-base/procesapago,20010,54,48,112,130,153,6,216,"0,000%","330,90789","406,02","0,00"
Total,40020,49,42,108,125,148,1,216,"0,000%","640,38148","1014,95","0,00"
