Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,25010,590,593,926,1265,2023,1,8107,"0,000%","313,39674","608,91","0,00"
/P1-base/procesapago,25010,617,604,985,1298,2302,6,15915,"0,000%","311,54627","382,30","0,00"
Total,50020,604,599,954,1285,2230,1,15915,"0,000%","607,23044","962,47","0,00"
