Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,10,4,4,6,6,8,3,8,"0,000%",",21736","0,42","0,00"
/P1-base/procesapago,10,14,15,16,16,17,8,17,"0,000%",",21902","0,27","0,00"
Total,20,9,8,15,16,17,3,17,"0,000%",",41631","0,66","0,00"
