Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,5010,3,3,5,6,9,1,22,"0,000%","87,42845","169,80","0,00"
/P1-base/procesapago,5010,10,10,14,16,21,5,40,"0,000%","86,57635","106,17","0,00"
Total,10020,6,7,13,14,19,1,40,"0,000%","166,36228","263,56","0,00"
