Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,10010,2,2,5,6,12,1,47,"0,000%","171,04386","332,21","0,00"
/P1-base/procesapago,10010,10,10,15,17,23,4,67,"0,000%","169,94907","208,43","0,00"
Total,20020,6,7,13,15,21,1,67,"0,000%","326,86782","517,88","0,00"
