Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,22510,196,198,338,384,455,1,1480,"0,000%","360,46567","700,34","0,00"
/P1-base/procesapago,22510,208,210,351,398,467,6,1485,"0,000%","357,92654","439,20","0,00"
Total,45020,202,205,344,390,461,1,1485,"0,000%","691,77461","1096,44","0,00"
