Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,27510,28,5,108,144,174,1,221,"0,000%","466,33442","906,07","0,00"
/P1-base/procesapago,27510,41,18,124,158,189,6,240,"0,000%","462,38403","567,41","0,00"
Total,55020,35,15,116,151,183,1,240,"0,000%","892,38505","1414,48","0,00"
