procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0   8952   8044   7656 167768    0    0     8     5  108  128  1  1 98  0
 1  0   8952   7852   7664 167888    0    0     0    28 3001 6493 13 21 67  0
 2  0   8952   7696   7664 168020    0    0     0     0 3147 6778 11 16 73  0
 1  0   8952   7448   7664 168148    0    0     0     0 3244 6921 12 14 74  0
 1  0   8952   7448   7664 168280    0    0     0     0 3127 6923 11 16 72  0
 1  0   8960   8316   7648 167008    0    8     0     8 4388 6610 12 20 68  0
 0  0   8960   8224   7656 167124    0    0     0    12 3104 6311 11 22 67  0
 1  0   8960   8192   7656 167260    0    0     0     0 3212 6507 10 19 71  0
 4  0   8960   8192   7656 167388    0    0     0     0 2997 6709 11 18 71  0
 1  0   8960   7972   7656 167512    0    0     0     0 3103 6512 11 22 67  0
 2  0   8960   8036   7656 167632    0    0     0     0 3305 6314 10 18 72  0
 0  0   8960   8036   7664 167756    0    0     0    28 3185 6984 10 15 75  0
 3  0   8960   7912   7664 167892    0    0     0     0 3062 6603 10 18 73  0
 1  0   8960   7788   7664 168016    0    0     0     0 3366 6509  9 20 71  0
 2  0   8960   7664   7664 168144    0    0     0     0 3134 6551 10 20 69  0
 1  1   8996   7384   7652 167868    0   36     0    36 3505 6512 11 18 68  2
 2  0   9004   8500   7644 166452   32   24    32    36 3328 6652 13 20 65  1
 1  0   9004   8532   7644 166584    0    0     0     0 3217 6738 11 18 71  0
 1  0   9004   8500   7644 166708    0    0     0     0 3241 6538 12 21 68  0
 3  0   9004   8532   7644 166836    0    0     0     0 3117 6774 13 16 71  0
 1  0   9004   8532   7644 166956    0    0     0     0 3125 6011 12 19 69  0
 2  0   9004   8532   7652 167080    0    0     0    12 3067 7141 10 17 73  0
 0  0   9004   8532   7652 167212    0    0     0     0 3163 6297 10 23 66  0
 1  0   9004   8284   7652 167336    0    0     0  1880 3424 6774 12 25 63  0
 1  0   9004   8284   7652 167468    0    0     0     0 2940 6895 13 15 73  0
 1  0   9004   8160   7652 167592    0    0     0     0 3222 6293  9 19 72  0
 0  0   9004   7908   7660 167708    0    0     0    44 3116 6550 11 23 66  0
 0  0   9004   7848   7660 167848    0    0     0     0 3071 6505 14 16 70  0
 1  0   9004   7880   7660 167968    0    0     0    40 3052 6522 11 18 71  0
 1  0   9004   7632   7660 168092    0    0     0     0 3249 6485 11 19 70  0
 1  0   9004   7508   7660 168224    0    0     0     0 3201 6917 11 20 69  0
 2  0   9004   7540   7668 168336    0    0     0    12 3143 6400  8 16 76  0
 0  0   9008   8344   7652 166828    0    4     0     4 3415 6547 12 22 66  0
 0  0   9008   8252   7652 166956    0    0     0     0 3099 6502  8 20 72  0
 1  0   9008   8284   7652 167068    0    0     0     0 3164 6124 10 23 67  0
 0  0   9008   8284   7652 167208    0    0     0     0 3128 6779 10 21 69  0
 0  0   9008   8160   7660 167320    0    0     0    12 3066 6552 13 15 72  0
 3  0   9008   8192   7660 167452    0    0     0     0 3117 6379 11 21 68  0
 1  0   9008   8036   7660 167580    0    0     0     0 3083 7123  9 19 72  0
MEDIA
NR:  41 CPU:  29.2564
